,title,price,link
20,HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...,"₹54,990",/hp-pavilion-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-ec2004ax-gaming-laptop/p/itm98c94bbf9bc20?pid=COMG5GZXPWMGTNWS&lid=LSTCOMG5GZXPWMGTNWSQE9WVW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMG5GZXPWMGTNWS.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
21,acer Aspire 7 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹53,990",/acer-aspire-7-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-a715-42g-gaming-laptop/p/itm63ad210191f3d?pid=COMGCRQZQDZRA53F&lid=LSTCOMGCRQZQDZRA53FQ4VTOA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMGCRQZQDZRA53F.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
22,ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,"₹62,990",/asus-vivobook-pro-15-ryzen-7-octa-core-amd-r7-4800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-max-q-m6500ih-hn701ws-creator-laptop/p/itm817ed9fab3f5d?pid=COMGG3S9Y9PWSRZS&lid=LSTCOMGG3S9Y9PWSRZS16LXOD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMGG3S9Y9PWSRZS.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
23,MSI Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 MAX Q/14...,"₹59,990",/msi-core-i7-11th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-max-q-144-hz-gf63-thin-11sc-852in-gaming-laptop/p/itm13297b2080945?pid=COMGEY8WZYTQCXMG&lid=LSTCOMGEY8WZYTQCXMGMTVWYN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMGEY8WZYTQCXMG.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
24,MSI Modern 14 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 B5M-242IN Thin and...,"₹42,990",/msi-modern-14-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-b5m-242in-thin-light-laptop/p/itm2dadd2a6b6e61?pid=COMGGHMQUHQ6TYBC&lid=LSTCOMGGHMQUHQ6TYBCBBV3KJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMGGHMQUHQ6TYBC.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
25,MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,"₹50,990",/msi-gf63-thin-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-max-q-11sc-1046in-gaming-laptop/p/itm4b5beacb857d7?pid=COMGGZ23ZZPQYFJA&lid=LSTCOMGGZ23ZZPQYFJAWNHHWX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMGGZ23ZZPQYFJA.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
26,RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,"₹44,990",/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMG4Z359A4Z3MFG.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
27,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,"₹37,228",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_lYoWifDrPp3lzp%2FZT5nsZcnJ0PJMLex8WE%2Fuv2J8ZcwLb31R6M1MXdqSuGw%2Bzave28vg%2F170bIgxIlkq1VYlUA%3D%3D&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
28,HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Light Lap...,"₹68,999",/hp-pavilion-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14-dv2014tu-thin-light-laptop/p/itmf2da8088aa614?pid=COMGEG3ZNYZDAYVJ&lid=LSTCOMGEG3ZNYZDAYVJNYHV3Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMGEG3ZNYZDAYVJ.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
29,acer Aspire 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A315-58 Thin and Light Laptop,"₹42,990",/acer-aspire-3-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-a315-58-thin-light-laptop/p/itma3713661b7a79?pid=COMGCRQZ9EXVDBHY&lid=LSTCOMGCRQZ9EXVDBHYHXKGQM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMGCRQZ9EXVDBHY.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
30,Lenovo IdeaPad 1 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light Lap...,"₹39,584",/lenovo-ideapad-1-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-11-home-15ada7-thin-light-laptop/p/itm6253939cee63b?pid=COMGFM5BXGAMEWPE&lid=LSTCOMGFM5BXGAMEWPESNT1TZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_31&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMGFM5BXGAMEWPE.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
31,ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,"₹25,990",/asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_32&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMGBH774UHWUFQF.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
32,Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹55,990",/lenovo-ideapad-gaming-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-82k101b6in-82k101ftin-laptop/p/itm52edaf472c5df?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_33&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMGFM5BFZHDDB4R.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
33,ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,"₹86,990",/asus-tuf-gaming-a17-ryzen-7-octa-core-4800h-8-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-fa706ic-hx055w-laptop/p/itm4aa0a3881a0a5?pid=COMGGCQS3FYQXRYQ&lid=LSTCOMGGCQS3FYQXRYQPEJRIV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_34&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMGGCQS3FYQXRYQ.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
34,ASUS VivoBook 15 (2022) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ562WS | X515JA-E...,"₹44,990",/asus-vivobook-15-2022-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej562ws-x515ja-ej592ws-thin-light-laptop/p/itm2e65b7fbcb497?pid=COMG87FF2SD7ZHK6&lid=LSTCOMG87FF2SD7ZHK6CCCXCI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_35&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMG87FF2SD7ZHK6.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
35,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2511TU Thin and Light Laptop,"₹43,490",/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fr2511tu-thin-light-laptop/p/itm89ae6cdc52fdc?pid=COMGG3S9ZPRYMXS5&lid=LSTCOMGG3S9ZPRYMXS54AWB1Z&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_36&otracker=search&fm=organic&iid=8abd0a80-daa0-43ec-bec7-7bc5af467d14.COMGG3S9ZPRYMXS5.SEARCH&ppt=None&ppn=None&ssid=kru0ntuqf40000001669551614764&qH=312f91285e048e09
