,title,price,link
23,"vivo T1 44W (Starry Sky, 128 GB)","₹14,499",/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVHNBBBBP5&lid=LSTMOBGDRHVHNBBBBP5SY2MJL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGDRHVHNBBBBP5.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
24,"POCO C31 (Royal Blue, 32 GB)","₹6,999",/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBPQ3FU1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_25&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBG73E7ZBHHQ3RB.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
25,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹14,499",/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVZN29ZJF4&lid=LSTMOBGDRHVZN29ZJF4WEHAX7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_26&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGDRHVZN29ZJF4.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
26,"vivo T1 44W (Starry Sky, 128 GB)","₹14,499",/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVHNBBBBP5&lid=LSTMOBGDRHVHNBBBBP5SY2MJL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_27&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGDRHVHNBBBBP5.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
27,MU M370,"₹1,290",/mu-m370/p/itm4f51b8bec460f?pid=MOBFSMQZFNBZBTGV&lid=LSTMOBFSMQZFNBZBTGVU4ZZML&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_28&otracker=search&fm=organic&iid=en_%2B%2BuMUpG6dMr4BpCd0EsRW6YKb3RU0aoxc8UCIymNWIkmGvEqBEmknequ%2B0CK4PHRU7a1syztIGC2UpjYedPZHw%3D%3D&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
28,"realme C33 (Night Sea, 64 GB)","₹9,999",/realme-c33-night-sea-64-gb/p/itma112335dbe78a?pid=MOBGHBJGZ3GYDFD2&lid=LSTMOBGHBJGZ3GYDFD2UJE1AM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_29&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGHBJGZ3GYDFD2.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
29,"vivo T1X (Gravity Black, 64 GB)","₹11,999",/vivo-t1x-gravity-black-64-gb/p/itm9e8207e7825a9?pid=MOBGG56ZMXMNUCYF&lid=LSTMOBGG56ZMXMNUCYFQ5HT8S&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_30&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGG56ZMXMNUCYF.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
30,"realme C33 (Sandy Gold, 64 GB)","₹9,999",/realme-c33-sandy-gold-64-gb/p/itma112335dbe78a?pid=MOBGHBJG8NWDGK6T&lid=LSTMOBGHBJG8NWDGK6TYTLTOF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_31&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGHBJG8NWDGK6T.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
31,"realme C33 (Aqua Blue, 64 GB)","₹9,999",/realme-c33-aqua-blue-64-gb/p/itma112335dbe78a?pid=MOBGHBJG3M6FB35G&lid=LSTMOBGHBJG3M6FB35GOCB4ZL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_32&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGHBJG3M6FB35G.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
32,"vivo T1X (Space Blue, 64 GB)","₹11,999",/vivo-t1x-space-blue-64-gb/p/itm9e8207e7825a9?pid=MOBGG56ZFNPMHBWE&lid=LSTMOBGG56ZFNPMHBWEB8Y2U5&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_33&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGG56ZFNPMHBWE.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
